Question,Answer,URL,Thumbnail URL,Supporting sentences,Post ID,Tag,Modality,Javascript URL,Javascript code,Version,UID
Does forest cover in the Madre de Dios region of Peru decrease in 2018 compared to 2013?,,https://earthobservatory.nasa.gov/images/144841/tracking-peruvian-forest-loss-from-space,,"1. Nicolau found that roughly 206 square kilometers (79 square miles) of forest were cleared in the five-year study period, with the greatest loss occurring in the last year. ",,,,https://code.earthengine.google.com/337cfa92095ae8e2cefcb66610564cb6,"// Define the area of interest: Madre de Dios region in Peru
var madreDeDios = geometry; // Approximate bounds for Madre de Dios

// Load Hansen Global Forest Change dataset (2023 version)
var dataset = ee.Image('UMD/hansen/global_forest_change_2023_v1_11');

// Get various bands from the dataset
var treeCover = dataset.select(['treecover2000']); // Tree cover in 2000
var loss = dataset.select(['loss']); // Forest loss 2000-2023
var lossYear = dataset.select(['lossyear']); // Year of loss
var gain = dataset.select(['gain']); // Forest gain 2000-2023

// Load Sentinel-2 imagery for RGB visualization
var sentinel2 = ee.ImageCollection('COPERNICUS/S2_SR_HARMONIZED')
  .filter(ee.Filter.date('2019-01-01', '2019-12-31'))
  .filter(ee.Filter.lt('CLOUDY_PIXEL_PERCENTAGE', 10))
  .median();

// Create a mask for areas that had forest in 2000 (with at least 30% tree cover)
var forestMask = treeCover.gte(30);

// Apply the mask to the loss year data
var lossYearMasked = lossYear.updateMask(forestMask);

// Calculate total forest area in 2000 (baseline)
var forestArea2000 = forestMask.multiply(ee.Image.pixelArea()).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: madreDeDios,
  scale: 300,
  maxPixels: 1e13,
});

// Calculate forest loss up to 2013 (to get forest cover in 2013)
var lossUntil2013 = lossYear.lte(13).and(forestMask);
var forestLossUntil2013 = lossUntil2013.multiply(ee.Image.pixelArea()).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: madreDeDios,
  scale: 300,
  maxPixels: 1e13,
});

// Calculate forest loss up to 2018 (to get forest cover in 2018)
var lossUntil2018 = lossYear.lte(18).and(forestMask);
var forestLossUntil2018 = lossUntil2018.multiply(ee.Image.pixelArea()).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: madreDeDios,
  scale: 300,
  maxPixels: 1e13,
});

// Calculate specifically the loss between 2013 and 2018
var loss2013to2018 = lossYear.gt(13).and(lossYear.lte(18)).and(forestMask);
var forestLoss2013to2018 = loss2013to2018.multiply(ee.Image.pixelArea()).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: madreDeDios,
  scale: 300,
  maxPixels: 1e13,
});

// Convert to square kilometers
var forestAreaSqKm = ee.Number(forestArea2000.get('treecover2000')).divide(1e6);
var forestLossUntil2013SqKm = ee.Number(forestLossUntil2013.get('lossyear')).divide(1e6);
var forestLossUntil2018SqKm = ee.Number(forestLossUntil2018.get('lossyear')).divide(1e6);
var forestLoss2013to2018SqKm = ee.Number(forestLoss2013to2018.get('lossyear')).divide(1e6);

// Calculate forest cover in 2013 and 2018
var forestCover2013 = forestAreaSqKm.subtract(forestLossUntil2013SqKm);
var forestCover2018 = forestAreaSqKm.subtract(forestLossUntil2018SqKm);

// Calculate percentage decrease from 2013 to 2018
var percentDecrease = forestLoss2013to2018SqKm.divide(forestCover2013).multiply(100);

// Print results
print('Total forest area in 2000 (sq km):', forestAreaSqKm);
print('Forest cover in 2013 (sq km):', forestCover2013);
print('Forest cover in 2018 (sq km):', forestCover2018);
print('Forest loss between 2013 and 2018 (sq km):', forestLoss2013to2018SqKm);
print('Percentage decrease from 2013 to 2018 (%):', percentDecrease);

// Determine if forest cover decreased from 2013 to 2018
var hasDecreased = forestCover2018.lt(forestCover2013);
print('Did forest cover decrease from 2013 to 2018?', hasDecreased);

// Calculate annual forest loss between 2013 and 2018
var annualLoss = {};
for (var year = 14; year <= 18; year++) {
  var yearLoss = lossYear.eq(year).and(forestMask);
  var yearLossArea = yearLoss.multiply(ee.Image.pixelArea()).reduceRegion({
    reducer: ee.Reducer.sum(),
    geometry: madreDeDios,
    scale: 300,
    maxPixels: 1e13,
  });
  var yearLossSqKm = ee.Number(yearLossArea.get('lossyear')).divide(1e6);
  annualLoss['20' + (year + 2000)] = yearLossSqKm;
}

// Visualization parameters
var treeCoverVisParam = {
  bands: ['treecover2000'],
  min: 0,
  max: 100,
  palette: ['black', 'green']
};

var rgbVisParam = {
  bands: ['B4', 'B3', 'B2'],
  min: 0,
  max: 3000
};

var loss2013Param = {
  palette: ['red'],
  opacity: 0.5
};

var loss2018Param = {
  palette: ['orange'],
  opacity: 0.5
};

var loss2013to2018Param = {
  palette: ['yellow'],
  opacity: 0.7
};

// Center map on Madre de Dios
Map.centerObject(madreDeDios, 8);

// Add layers to map
Map.addLayer(treeCover.updateMask(forestMask), treeCoverVisParam, 'Forest Cover 2000 (>30%)');
Map.addLayer(sentinel2, rgbVisParam, 'Sentinel-2 RGB Composite');
Map.addLayer(lossUntil2013.selfMask(), loss2013Param, 'Forest Loss until 2013');
Map.addLayer(lossUntil2018.selfMask(), loss2018Param, 'Forest Loss until 2018');
Map.addLayer(loss2013to2018.selfMask(), loss2013to2018Param, 'Forest Loss 2013-2018');
Map.addLayer(madreDeDios, {color: 'blue', opacity: 0.3}, 'Madre de Dios Region');",v1,26
"Did the nighttime brightness at Biju Patnaik Airport decrease more than the brightness at Saheed Nagar (20.290813, 85.848691) between April 30, 2019 and May 5, 2019?",,https://earthobservatory.nasa.gov/images/145017/lights-out-after-cyclone-fani,,"The images above show Bhubaneswar, the capital and largest city in the state. According to media reports on May 8, only a few percent of the people in the city have electricity. The Biju Patnaik International Airport suffered considerable damage to the passenger terminal, while the roof of the air traffic control tower was blown away.",,,VIIRS,,,v2,27
"Did the nighttime brightness at Cuttack, Odisha decrease from April 30, 2019 to May 4, 2019?",,https://earthobservatory.nasa.gov/images/145017/lights-out-after-cyclone-fani,,"The images above show Bhubaneswar, the capital and largest city in the state. According to media reports on May 8, only a few percent of the people in the city have electricity. The Biju Patnaik International Airport suffered considerable damage to the passenger terminal, while the roof of the air traffic control tower was blown away.",,,VIIRS,,,v2,28
Does Somalia show lower soil moisture in April 2019 compared to the average April conditions?,,https://earthobservatory.nasa.gov/images/145116/food-crisis-grows-from-dry-soils,,"1. This map shows soil moisture anomalies in April 2019—an expression of drought and how it affects conditions for growing crops. Areas in green had more moisture in the upper layers of soil than the norm for April, while areas in red had less.
2. In Somalia, rainfall was spotty, with just a few measuring stations in the north recording significant accumulations in April.",,,,https://code.earthengine.google.com/afa171e505892d133f7c13f3ed8b3d2c,"// Define Somalia boundary
var somalia = ee.FeatureCollection(""USDOS/LSIB_SIMPLE/2017"")
  .filter(ee.Filter.eq('country_na', 'Somalia'));

// Load ERA5-Land Monthly dataset
var era5Land = ee.ImageCollection(""ECMWF/ERA5_LAND/MONTHLY_AGGR"");

// Define the target month (April 2019)
var targetDate = ee.Date('2019-04-01');

// Define the historical reference period (e.g., 1991-2018)
var startYear = 1991;
var endYear = 2018;

// Define all soil moisture layers
var soilLayers = [
  'volumetric_soil_water_layer_1',
  'volumetric_soil_water_layer_2',
  'volumetric_soil_water_layer_3',
  'volumetric_soil_water_layer_4'
];

// Get soil moisture data for April 2019 (all layers)
var soilMoisture2019 = era5Land
  .filter(ee.Filter.date(targetDate, targetDate.advance(1, 'month')))
  .select(soilLayers)
  .median();

// Function to get April data for a given year (all layers)
var getAprilData = function(year) {
  var startDate = ee.Date.fromYMD(year, 4, 1);
  var endDate = startDate.advance(1, 'month');
  return era5Land
    .filter(ee.Filter.date(startDate, endDate))
    .select(soilLayers)
    .median()
    .set('year', year);
};

// Create a list of years for the reference period
var years = ee.List.sequence(startYear, endYear);

// Get April soil moisture data for each year in the reference period
var historicalCollection = ee.ImageCollection.fromImages(
  years.map(function(year) {
    return getAprilData(year);
  })
);

// Calculate the historical average for April (all layers)
var historicalAverage = historicalCollection.mean();

// Calculate the anomaly (difference from historical average) for all layers
var soilMoistureAnomaly = soilMoisture2019.subtract(historicalAverage);

// Calculate the percent difference for all layers
var percentDifference = soilMoistureAnomaly.divide(historicalAverage).multiply(100);

// Define visualization parameters
var soilMoistureVis = {
  min: 0,
  max: 0.5,
  palette: ['red', 'orange', 'yellow', 'green', 'blue']
};

var anomalyVis = {
  min: -0.1,
  max: 0.1,
  palette: ['red', 'white', 'blue']
};

var percentVis = {
  min: -50,
  max: 50,
  palette: ['red', 'white', 'blue']
};

// Center the map on Somalia
Map.centerObject(somalia, 6);

// Add Somalia boundary
Map.addLayer(somalia, {color: 'black'}, 'Somalia Boundary');

// Add layers to the map with UI controls
// Create a panel for layer visibility controls
var panel = ui.Panel({
  style: {
    position: 'top-right',
    padding: '8px'
  }
});

// Function to add a layer with a checkbox
var addLayerWithCheckbox = function(image, visParams, name) {
  var checkbox = ui.Checkbox({
    label: name,
    value: false,
    onChange: function(checked) {
      if (checked) {
        Map.addLayer(image.clip(somalia), visParams, name);
      } else {
        // Find and remove the layer
        Map.layers().forEach(function(layer) {
          if (layer.getName() === name) {
            Map.remove(layer);
          }
        });
      }
    }
  });
  panel.add(checkbox);
};

// Add layers for each soil moisture layer
soilLayers.forEach(function(layer, index) {
  var layerNum = index + 1;
  // Current conditions
  addLayerWithCheckbox(
    soilMoisture2019.select(layer), 
    soilMoistureVis, 
    'Layer ' + layerNum + ' - Soil Moisture April 2019'
  );
  
  // Historical average
  addLayerWithCheckbox(
    historicalAverage.select(layer), 
    soilMoistureVis, 
    'Layer ' + layerNum + ' - Historical Average'
  );
  
  // Anomaly
  addLayerWithCheckbox(
    soilMoistureAnomaly.select(layer), 
    anomalyVis, 
    'Layer ' + layerNum + ' - Anomaly'
  );
  
  // Percent difference
  addLayerWithCheckbox(
    percentDifference.select(layer), 
    percentVis, 
    'Layer ' + layerNum + ' - Percent Difference'
  );
});

Map.add(panel);

// Calculate regional statistics for all layers
var calculateRegionalStats = function(image, name) {
  return image.reduceRegion({
    reducer: ee.Reducer.mean(),
    geometry: somalia,
    scale: 1000000,
    maxPixels: 1e9
  });
};

// Get statistics for all soil layers
var regionalStats = calculateRegionalStats(soilMoistureAnomaly, 'Anomaly');
var regionalPercentStats = calculateRegionalStats(percentDifference, 'Percent');
var current2019Stats = calculateRegionalStats(soilMoisture2019, '2019');
var historicalStats = calculateRegionalStats(historicalAverage, 'Historical');

// Create a panel to display statistics
var statsPanel = ui.Panel({
  style: {
    position: 'bottom-left',
    padding: '8px',
    width: '300px'
  }
});

// Add title
statsPanel.add(ui.Label('Soil Moisture Statistics for Somalia', {fontWeight: 'bold'}));

// Print detailed statistical results to console
print('===== DETAILED SOIL MOISTURE ANALYSIS =====');
soilLayers.forEach(function(layer, index) {
  print('--- LAYER ' + (index + 1) + ' ---');
  print('Current (April 2019):', current2019Stats.get(layer));
  print('Historical Average:', historicalStats.get(layer));
  print('Anomaly:', regionalStats.get(layer));
  print('Percent Difference:', regionalPercentStats.get(layer));
  
  var isLower = ee.Number(regionalStats.get(layer)).lt(0);
  print('Is Layer ' + (index + 1) + ' drier in 2019?', isLower);
});",v1,29
"Were blooms of phytoplankton visible in the Norwegian Sea during June 5, 2019?",,https://earthobservatory.nasa.gov/images/145151/beauty-and-a-burden-in-the-norwegian-sea,,"Phytoplankton in the Norwegian Sea are visible in this image, acquired on June 5, 2019, with the Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Terra satellite. ",,,,,,v2,30
"Did the water extent of Lake Sambhar, India, decrease between 2018 and 2019?",,https://earthobservatory.nasa.gov/images/145180/lake-sambhar,,The number of flamingos and other birds has been dropping because of inconsistent monsoons and reduction of habitat. The lake has been included on a list of the planet’s large salt lakes that are in decline due to water diversions and climate change.,,,,,,v2,31
"In areas across the northeastern Pacific Ocean, were sea surface temperatures cooler in August 2019 than the average for the same month from 1985-2012?",no,https://earthobservatory.nasa.gov/images/145602/marine-heat-wave-returns-to-the-northeast-pacific,,"From 2014-2016, a marine heat wave spread across the northeastern Pacific Ocean—an ocean weather event that researchers coined “the blob.” In the summer of 2019, an expanse of warm surface water returned to the region.

The unusual conditions are visible in the maps above and below, which shows sea surface temperature anomalies across the northeastern Pacific in August 2019. Red colors depict areas that were hotter than average for the same month from 1985-2012; blues were colder than average.",,,,,,v2,32
"In the Norwegian Sea during Septermber 1, 2019, is the water color at (50.282684, -58.944881) more milky than (50.415337, -54.128047)?",,https://earthobservatory.nasa.gov/images/145634/late-bloomers,,"The Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Aqua satellite acquired these natural-color images of Newfoundland and surrounding waters on September 1 and 19, 2019. The brightest bloom appears southeast of the island, but fainter milky streaks are visible on nearly all sides. (The bloom was still visible through cloudy skies on September 22.)",,,,,,v2,33
"In the Norwegian Sea during Septermber 19, 2019, is the water color at (46.694935, -50.925784) more milky than (46.809436, -58.528990)?",,https://earthobservatory.nasa.gov/images/145634/late-bloomers,,"The Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Aqua satellite acquired these natural-color images of Newfoundland and surrounding waters on September 1 and 19, 2019. The brightest bloom appears southeast of the island, but fainter milky streaks are visible on nearly all sides. (The bloom was still visible through cloudy skies on September 22.)",,,,,,v2,34
Did the land area of Great Fox Island decrease between 1999 and 2019?,,https://earthobservatory.nasa.gov/images/145927/great-fox-is-disappearing,,"When the island was first discovered in 1773, it spanned more than 400 acres (1.6 square kilometers). By 2019, just 34 acres (0.1 square kilometers) remained.",,,Landsat 7/8,,,v2,35
Did the land area of Smith Island decrease between 1999 and 2019?,,https://earthobservatory.nasa.gov/images/145927/great-fox-is-disappearing,,"When the island was first discovered in 1773, it spanned more than 400 acres (1.6 square kilometers). By 2019, just 34 acres (0.1 square kilometers) remained.",,,Landsat 7/8,,,v2,36
"Were the water levels in Lake Kariba in December, 2019 higher than the water levels seen in December, 2018?",no,https://earthobservatory.nasa.gov/images/146068/water-levels-keep-falling-at-lake-kariba,,"Straddling the border of Zambia and Zimbabwe, Lake Kariba is 223 kilometers (139 miles) long and stretches 40 kilometers (25 miles) across at its widest point. As of December 27, 2019, water levels in Lake Kariba stood at 8.36 percent of what is needed for power generation. In December 2018, the lake stood at 51 percent; in 2017, it was 37 percent.",,,,,,v2,37
"Was there more smoke on January 1, 2020 in the coastal regions of Victoria and New South Wales, Australia compared to July 24, 2019?",,https://earthobservatory.nasa.gov/images/146096/thick-smoke-blankets-southeastern-australia,,"On January 1, 2020, the Operational Land Imager (OLI) on Landsat 8 acquired a natural-color image (above) of thick smoke blanketing southeastern Australia along the border of Victoria and New South Wales. For comparison, the second image shows what the same area looked like under cloud- and smoke-free conditions on July 24, 2019.",,,,,,v2,38
"Between January 8 and January 15, 2020, did Sistan-Baluchestan experience over 3 inches of rainfall?",,https://earthobservatory.nasa.gov/images/146150/flash-flooding-in-iran,,"According to a news report, more than 100 millimeters (4 inches) of rain fell in three days in Sistan-Baluchestan—the amount that typically falls during a full year in the region.",,,,,,v2,39
"Did did the total rainfall exceed 6 inches in Grafton, New South Wales during January 14, 2020 to January 22, 2020?",,https://earthobservatory.nasa.gov/images/146201/rain-brought-brief-relief-to-australia,,"According to news reports, the largest accumulations in New South Wales occurred north of Sydney, where rainfall averaged between 20 and 30 centimeters (8 and 12 inches).",,,GPM,,,v2,40
"Did did the total rainfall exceed 8 inches in Canberra, Australia during January 14, 2020 to January 22, 2020?",no,https://earthobservatory.nasa.gov/images/146201/rain-brought-brief-relief-to-australia,,,,,GPM,,,v2,41
"Was the total rainfall in Grafton, New South Wales, greater than the total rainfall in Canberra from January 15, 2020 to January 21, 2020?",,https://earthobservatory.nasa.gov/images/146201/rain-brought-brief-relief-to-australia,,,,,GPM,,,v2,42
"Was there more sediment in the Mekong River, specifically at location (20.248364, 100.141422), in January 27, 2015 compared to January 25, 2020?",,https://earthobservatory.nasa.gov/images/146209/mekong-turns-from-brown-to-blue-green,,"But for the past few months, the sediment loads have dropped and the Lower Mekong River has turned an unusual aquamarine color.

The color change was first reported in northern Thailand in November 2019, and has since spread along the Lower Mekong. The images above show the river near the town of Huay Xai in Laos. The left image shows the river under normal, sediment-laden conditions on January 27, 2015, compared to conditions on January 25, 2020.",,,Landsat 8,,,v2,43
Did Arrachart in Madagascar recieve more than 22 inches of rainfall during the month of January 2020?,no,https://earthobservatory.nasa.gov/images/146225/flood-waters-overwhelm-northern-madagascar,,Arrachart received 192 mm (7.55 inches) from January 19-25 and 495 mm (19.50 inches) throughout January (normal is 159 mm/6.25 inches).,,,,,,v2,44
"Did the town of Marovoay have higher water extent in January 27, 2020 than January 18, 2017?",,https://earthobservatory.nasa.gov/images/146225/flood-waters-overwhelm-northern-madagascar,,,,,Landsat 8,,,v2,45
"In Janaury 2020, did the city of Mahajanga experience more than 12 inches of rainfall?",,https://earthobservatory.nasa.gov/images/146225/flood-waters-overwhelm-northern-madagascar,,"According to Accuweather, the town of Mahajanga reported 358 millimeters (14.09 inches) of rain from January 19-25, and 592 mm (23.29 inches) for the month of January.",,,,,,v2,46
Were there fewer fire detections in Brazil in 2019 than in 2007?,,https://earthobservatory.nasa.gov/images/146355/reflecting-on-a-tumultuous-amazon-fire-season,,"If you are comparing fire detections or burned area from 2019 to the full MODIS record,” said Morton, “realize that you are comparing a year without extreme drought or uncontrolled forest fires to years such as 2005, 2007, and 2010 when there were.”",,,,https://code.earthengine.google.com/c9cc4908239d1e7f22c260ab00029369,"// Define Brazil boundary using the LSIB dataset
var brazil = ee.FeatureCollection('USDOS/LSIB_SIMPLE/2017')
  .filter(ee.Filter.eq('country_na', 'Brazil'));

// Load MODIS Thermal Anomalies & Fire product (MCD14ML)
var fireHotspots2007 = ee.ImageCollection('MODIS/006/MOD14A1')
  .filterDate('2007-01-01', '2007-12-31')  // Full year 2007
  .select('MaxFRP')  // Maximum Fire Radiative Power
  .filterBounds(brazil);

var fireHotspots2019 = ee.ImageCollection('MODIS/006/MOD14A1')
  .filterDate('2019-01-01', '2019-12-31')  // Full year 2019
  .select('MaxFRP')
  .filterBounds(brazil);

// Create binary masks where fire hotspots are present (MaxFRP > 0)
var hotspots2007 = fireHotspots2007.map(function(image) {
  return image.gt(0);
}).sum().clip(brazil);

var hotspots2019 = fireHotspots2019.map(function(image) {
  return image.gt(0);
}).sum().clip(brazil);

// Set visualization parameters for the fire hotspots
var hotspotVis = {
  min: 0,
  max: 20,
  palette: ['white', 'yellow', 'orange', 'red']
};

// Set map center to Brazil
Map.centerObject(brazil, 4);

// Add the fire hotspot layers
Map.addLayer(hotspots2007, hotspotVis, 'Brazil Fire Hotspots 2007');
Map.addLayer(hotspots2019, hotspotVis, 'Brazil Fire Hotspots 2019');
Map.addLayer(brazil, {color: 'blue'}, 'Brazil Boundary', true);

// Count the number of hotspots for both years
var count2007 = hotspots2007.gt(0).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: brazil,
  scale: 1000,
  maxPixels: 1e12
});

var count2019 = hotspots2019.gt(0).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: brazil,
  scale: 1000,
  maxPixels: 1e12
});

// Extract the hotspot count values
var hotspots2007_count = count2007.get('MaxFRP');
var hotspots2019_count = count2019.get('MaxFRP');

// Print hotspot count results to console
print('Brazil Fire Hotspots in 2007:', hotspots2007_count);
print('Brazil Fire Hotspots in 2019:', hotspots2019_count);

// Calculate the difference in hotspot counts
var count_difference = ee.Number(hotspots2019_count).subtract(hotspots2007_count);
print('Difference in Fire Hotspot Count (2019 - 2007):', count_difference);

// Calculate percent change
var percent_change = ee.Number(hotspots2019_count).subtract(hotspots2007_count)
  .divide(hotspots2007_count).multiply(100);
print('Percent change in Fire Hotspot Count (2007 to 2019):', percent_change);

// Answer the research question
var is_2019_lower = ee.Number(hotspots2019_count).lt(ee.Number(hotspots2007_count));
print('Is the number of fire detections in Brazil in 2019 lower than that in 2007?', is_2019_lower);

// Create a difference map to visualize changes
var hotspotDifference = hotspots2019.subtract(hotspots2007);
var diffVis = {
  min: -10,
  max: 10,
  palette: ['blue', 'white', 'red']
};
Map.addLayer(hotspotDifference, diffVis, 'Hotspot Difference (2019 - 2007)');

// Create a chart comparing the fire hotspots between 2007 and 2019 by month
// First, create a function to get monthly hotspot counts
var getMonthlyHotspots = function(year) {
  var startDate = ee.Date.fromYMD(year, 1, 1);
  var endDate = ee.Date.fromYMD(year, 12, 31);
  
  var months = ee.List.sequence(1, 12);
  
  return months.map(function(month) {
    var start = ee.Date.fromYMD(year, month, 1);
    var end = start.advance(1, 'month').advance(-1, 'day');
    
    var collection = ee.ImageCollection('MODIS/006/MOD14A1')
      .filterDate(start, end)
      .select('MaxFRP')
      .filterBounds(brazil);
      
    var hotspots = collection.map(function(image) {
      return image.gt(0);
    }).sum().clip(brazil);
    
    var count = hotspots.gt(0).reduceRegion({
      reducer: ee.Reducer.sum(),
      geometry: brazil,
      scale: 1000,
      maxPixels: 1e12
    }).get('MaxFRP');
    
    return ee.Feature(null, {
      'month': month,
      'year': year,
      'count': count
    });
  });
};

var hotspots2007_monthly = ee.FeatureCollection(getMonthlyHotspots(2007));
var hotspots2019_monthly = ee.FeatureCollection(getMonthlyHotspots(2019));

// Merge the collections for charting
var allHotspots = hotspots2007_monthly.merge(hotspots2019_monthly);

// Create the chart
var chart = ui.Chart.feature.groups(allHotspots, 'month', 'count', 'year')
  .setChartType('ColumnChart')
  .setOptions({
    title: 'Monthly Fire Hotspots in Brazil (2007 vs 2019)',
    hAxis: {title: 'Month', gridlines: {count: 12}},
    vAxis: {title: 'Number of Fire Hotspots'},
    legend: {position: 'top'},
    series: {
      0: {color: 'blue'},
      1: {color: 'red'}
    }
  });
  
print(chart);

// Alternative approach: Use MODIS burned area product for comparison
// Load MCD64A1 Burned Area Monthly Global 500m
var burnedArea2007 = ee.ImageCollection('MODIS/006/MCD64A1')
  .filterDate('2007-01-01', '2007-12-31')
  .select('BurnDate')
  .filterBounds(brazil);

var burnedArea2019 = ee.ImageCollection('MODIS/006/MCD64A1')
  .filterDate('2019-01-01', '2019-12-31')
  .select('BurnDate')
  .filterBounds(brazil);

// Create binary masks where burn dates are valid (BurnDate > 0)
var burned2007 = burnedArea2007.map(function(image) {
  return image.gt(0);
}).sum().clip(brazil);

var burned2019 = burnedArea2019.map(function(image) {
  return image.gt(0);
}).sum().clip(brazil);

// Calculate total burned area in sq km for both years
var area2007 = burned2007.gt(0).multiply(ee.Image.pixelArea()).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: brazil,
  scale: 50000,
  maxPixels: 1e12
});

var area2019 = burned2019.gt(0).multiply(ee.Image.pixelArea()).reduceRegion({
  reducer: ee.Reducer.sum(),
  geometry: brazil,
  scale: 50000,
  maxPixels: 1e12
});

// Convert to square kilometers
var burnedArea2007_sqkm = ee.Number(area2007.get('BurnDate')).divide(1e6);
var burnedArea2019_sqkm = ee.Number(area2019.get('BurnDate')).divide(1e6);

print('Burned Area in Brazil in 2007 (sq km):', burnedArea2007_sqkm);
print('Burned Area in Brazil in 2019 (sq km):', burnedArea2019_sqkm);

// Calculate the difference in burned area
var area_difference = burnedArea2019_sqkm.subtract(burnedArea2007_sqkm);
print('Difference in Burned Area (2019 - 2007) in sq km:', area_difference);

// Calculate percent change in burned area
var area_percent_change = burnedArea2019_sqkm.subtract(burnedArea2007_sqkm)
  .divide(burnedArea2007_sqkm).multiply(100);
print('Percent change in Burned Area (2007 to 2019):', area_percent_change);

// Final conclusion
var is_burned_area_2019_lower = burnedArea2019_sqkm.lt(burnedArea2007_sqkm);
print('Is the burned area in Brazil in 2019 lower than that in 2007?', is_burned_area_2019_lower);",v1,47
"Did the mean tropospheric nitrogen dioxide levels in Beijing all decrease during February 10-25, 2020 compared to January 1-20, 2020?",,https://earthobservatory.nasa.gov/images/146362/airborne-nitrogen-dioxide-plummets-over-china,,,,,Sentinel 5P,,,v2,48
"Did the mean tropospheric nitrogen dioxide levels in Beijing, Chongqing, and Wuhan all decrease during February 10-25, 2020 compared to January 1-20, 2020?",,https://earthobservatory.nasa.gov/images/146362/airborne-nitrogen-dioxide-plummets-over-china,,,,,Sentinel 5P,,,v2,49
"Did the mean tropospheric nitrogen dioxide levels in Hong Kong decrease during February 10-25, 2020 compared to January 1-20, 2020?",,https://earthobservatory.nasa.gov/images/146362/airborne-nitrogen-dioxide-plummets-over-china,,,,,Sentinel 5P,,,v2,50
