Annotator,Question,Answer,Status (Chia-Hsiang),Comment,Status (Cheryl),Comment,Status (Aarush),Comment,URL,Thumbnail URL,Supporting sentences,Post ID,Tag,Modality,Javascript URL,Javascript code
Aarush,"Between 2003 and 2019, did global land area covered by crops increase by at least 5 percent?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/149617/global-croplands-expand,,"According to the GLAD team analysis, the total land area covered by crops has increased , since 2003 by 9 percent, or 1 million square kilometers (about 400,000 square miles).",,,Landsat 8,,
Aarush,"Between December 2021 and January 2022, was the mean snow cover on Villarrica greater than the 2000 to 2020 average for the same months?",no,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/149463/chilean-volcano-low-on-snow,, Normalized Difference Snow Index (NDSI) observations from NASA’s Terra satellite indicate that the mean snow cover at Villarrica between December 2021 and January 2022 was substantially less than the 2000-2020 average for the same months.,,,MODIS-Terra,,
Aarush,"Between January 29 and February 5, 2019, was there at least a 22 degree Celcius difference in the highest daily air temperature at 2 meters in Boston, MA?",,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/144516/wild-winter-temperature-swings,,Measurements reported by the National Weather Service show that the daily high temperature in Boston jumped 26°C (47°F) between January 29 and February 5. New York and Washington D.C. warmed warmed by about 27°C.,,,GEOS?,,
Chia-Hsiang,"Between January 29 and February 5, 2019, was there at least a 30 degree Celcius difference in the highest daily air temperature at 2 meters in Boston, MA?",no,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/144516/wild-winter-temperature-swings,,Measurements reported by the National Weather Service show that the daily high temperature in Boston jumped 26°C (47°F) between January 29 and February 5. New York and Washington D.C. warmed warmed by about 27°C.,,,GEOS?,,
Aarush,"Between January 8 and January 15, 2020, did Sistan-Baluchestan experience over 3 inches of rainfall?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/146150/flash-flooding-in-iran,,"According to a news report, more than 100 millimeters (4 inches) of rain fell in three days in Sistan-Baluchestan—the amount that typically falls during a full year in the region.",,,MODIS-Aqua,,
Aarush,"Between June 15-21, 2017, did temperatures in Las Vegas, Nevada exceed 130 degrees fahrenheit?",no,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/90443/heat-broils-the-american-southwest,,"In Phoenix, Arizona, temperatures hit 119 degrees Fahrenheit (48 degrees Celsius). In Palm Springs, California, the high was 122°F degrees. In Las Vegas, Nevada, temperatures peaked at 117°F. Needles, California, tied its all-time high with a temperature of 125°F.",,,MODIS-Aqua,,
Aarush,"Between June 15-21, 2017, did temperatures in Needles, California reach 115 degrees fahrenheit?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/90443/heat-broils-the-american-southwest,,"In Phoenix, Arizona, temperatures hit 119 degrees Fahrenheit (48 degrees Celsius). In Palm Springs, California, the high was 122°F degrees. In Las Vegas, Nevada, temperatures peaked at 117°F. Needles, California, tied its all-time high with a temperature of 125°F.",,,MODIS-Aqua,,
Aarush,"Between June 15-21, 2017, did temperatures in Palm Springs, California reach 115 degrees fahrenheit?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/90443/heat-broils-the-american-southwest,,"In Phoenix, Arizona, temperatures hit 119 degrees Fahrenheit (48 degrees Celsius). In Palm Springs, California, the high was 122°F degrees. In Las Vegas, Nevada, temperatures peaked at 117°F. Needles, California, tied its all-time high with a temperature of 125°F.",,,MODIS-Aqua,,
Aarush,"Between June 15-21, 2017, did temperatures in Phoenix, Arizona reach at least 110 degrees fahrenheit?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/90443/heat-broils-the-american-southwest,,"In Phoenix, Arizona, temperatures hit 119 degrees Fahrenheit (48 degrees Celsius). In Palm Springs, California, the high was 122°F degrees. In Las Vegas, Nevada, temperatures peaked at 117°F. Needles, California, tied its all-time high with a temperature of 125°F.",,,MODIS-Aqua,,
Chia-Hsiang,"Between October 2021 and November 2021, did southern Ethiopia receive less rainfall than its long-term average for the same months from 2000 to 2013?",,,cheked with GEE,double reviewed,,,,https://earthobservatory.nasa.gov/images/149294/failed-rainy-seasons-create-food-emergency-in-eastern-africa,,"Tropical countries within the Horn of Africa tend to have two rainy seasons: the gu in March, April, and May, and the deyr in October, November, and December. The 2020 and 2021 deyr seasons were both substantially drier than normal, and the 2021 gu also came up short.

The map at the top right shows anomalies in the Normalized Difference Vegetation Index (NDVI), a satellite-derived product used to assess crop conditions. NDVI measures the health, or “greenness,” of vegetation based on how much red and near-infrared light the leaves reflect. Healthy vegetation reflects more infrared light and less visible light than stressed vegetation. The map compares NDVI from December 2021 with the long-term average from 2000 to 2013.",,,CHIRPS,https://code.earthengine.google.com/099ce1b4c8fdeb0b35a16d9368ddfe2d,"// Define a representative geometry for Southern Ethiopia.
// This is an approximate polygon covering parts of Somali, Oromia, and SNNP regions.
var southernEthiopia = ee.Geometry.Polygon([[
  [37.00, 3.50],
  [43.00, 3.50],
  [43.00, 7.00],
  [37.00, 7.00],
  [37.00, 3.50]
]]);

// Center the map on the area of interest.
Map.centerObject(southernEthiopia, 6);

// --- Period of Interest: October-November 2021 ---

// Define the start and end dates for the period of interest.
var startDate_2021 = ee.Date('2021-10-01');
var endDate_2021 = ee.Date('2021-11-30');

// Load the CHIRPS Daily precipitation dataset.
var chirps = ee.ImageCollection('UCSB-CHG/CHIRPS/DAILY');

// Filter the dataset for the 2021 period and the region.
var rainfall_2021 = chirps
    .filterDate(startDate_2021, endDate_2021)
    .filterBounds(southernEthiopia);

// Calculate the total rainfall for the 2021 period.
var totalRainfall_2021 = rainfall_2021.sum();

// Calculate the mean total rainfall within the Southern Ethiopia region for 2021.
var meanRainfall_2021 = totalRainfall_2021.reduceRegion({
  reducer: ee.Reducer.mean(),
  geometry: southernEthiopia,
  scale: 5566, // CHIRPS resolution in meters
  maxPixels: 1e9
});

print('Total Rainfall (Oct-Nov 2021) in mm:', meanRainfall_2021.get('precipitation'));

// --- Baseline Period: October-November from 2000-2013 ---

// Define the baseline years.
var startYear = 2000;
var endYear = 2013;
var years = ee.List.sequence(startYear, endYear);

// Function to calculate total rainfall for Oct-Nov for a given year.
var yearlyRainfall = function(year) {
  var startDate = ee.Date.fromYMD(year, 10, 1);
  var endDate = ee.Date.fromYMD(year, 11, 30);
  var total = chirps
      .filterDate(startDate, endDate)
      .filterBounds(southernEthiopia)
      .sum();
  return total;
};

// Map the function over the baseline years to get a collection of total rainfall images.
var yearlyTotals = ee.ImageCollection.fromImages(
  years.map(yearlyRainfall)
);

// Calculate the mean of the yearly total rainfall images.
var longTermAverage = yearlyTotals.mean();

// Calculate the mean long-term average rainfall within the Southern Ethiopia region.
var meanLongTermAverage = longTermAverage.reduceRegion({
  reducer: ee.Reducer.mean(),
  geometry: southernEthiopia,
  scale: 5566,
  maxPixels: 1e9
});

print('Long-Term Average Rainfall (Oct-Nov, 2000-2013) in mm:', meanLongTermAverage.get('precipitation'));

// --- Visualization ---

// Define visualization parameters for rainfall.
var precipVis = {
  min: 0,
  max: 200,
  palette: ['white', 'blue']
};

// Add layers to the map.
Map.addLayer(longTermAverage.clip(southernEthiopia), precipVis, 'Long-Term Average (2000-2013)');
Map.addLayer(totalRainfall_2021.clip(southernEthiopia), precipVis, 'Total Rainfall (2021)');
Map.addLayer(southernEthiopia, {color: 'FF0000'}, 'Southern Ethiopia AOI', false);"
Chia-Hsiang,"Between October 2021 and November 2021, did southern Ethiopia receive less rainfall than northern Ethiopia relative its long-term average for the same months from 2000 to 2013?",,,cheked with GEE,double reviewed,,,,https://earthobservatory.nasa.gov/images/149294/failed-rainy-seasons-create-food-emergency-in-eastern-africa,,"The map at the top right shows anomalies in the Normalized Difference Vegetation Index (NDVI), a satellite-derived product used to assess crop conditions. NDVI measures the health, or “greenness,” of vegetation based on how much red and near-infrared light the leaves reflect. Healthy vegetation reflects more infrared light and less visible light than stressed vegetation. The map compares NDVI from December 2021 with the long-term average from 2000 to 2013.",,,CHIRPS,https://code.earthengine.google.com/6632ae88f471a853138a64e239bc3109,"// Define representative geometries for Southern and Northern Ethiopia.
var southernEthiopia = ee.Geometry.Polygon([[
  [37.00, 3.50], [43.00, 3.50], [43.00, 7.00], [37.00, 7.00], [37.00, 3.50]
]]);
var northernEthiopia = ee.Geometry.Polygon([[
  [36.50, 9.50], [40.00, 9.50], [40.00, 14.50], [36.50, 14.50], [36.50, 9.50]
]]);

// Center the map to view both regions and add them as layers.
Map.centerObject(ee.Geometry.Point(39, 9), 5);
Map.addLayer(southernEthiopia, {color: 'FF0000'}, 'Southern Ethiopia AOI');
Map.addLayer(northernEthiopia, {color: '0000FF'}, 'Northern Ethiopia AOI');

// Load the CHIRPS Daily precipitation dataset.
var chirps = ee.ImageCollection('UCSB-CHG/CHIRPS/DAILY');

// --- Define Time Periods ---
var anomalyStartDate = '2021-10-01';
var anomalyEndDate = '2021-11-30';
var baselineStartYear = 2000;
var baselineEndYear = 2013;

// --- Function to Calculate and Print Rainfall Anomaly ---
var calculateRainfallAnomaly = function(region, regionName) {
  // 1. Calculate Total Rainfall for Oct-Nov 2021
  var rainfall2021 = chirps
      .filter(ee.Filter.date(anomalyStartDate, anomalyEndDate))
      .sum();

  var meanRainfall2021 = rainfall2021.reduceRegion({
    reducer: ee.Reducer.mean(),
    geometry: region,
    scale: 5000, // Scale in meters for the reducer
    maxPixels: 1e9
  }).get('precipitation');

  // 2. Calculate Long-Term Average for Oct-Nov (2000-2013)
  var baselineYears = ee.List.sequence(baselineStartYear, baselineEndYear);

  var yearlyTotals = ee.ImageCollection.fromImages(
    baselineYears.map(function(year) {
      var startDate = ee.Date.fromYMD(year, 10, 1);
      var endDate = ee.Date.fromYMD(year, 11, 30);
      return chirps
          .filter(ee.Filter.date(startDate, endDate))
          .sum()
          .set('year', year);
    })
  );

  var longTermAverage = yearlyTotals.mean();

  var meanLongTermAverage = longTermAverage.reduceRegion({
    reducer: ee.Reducer.mean(),
    geometry: region,
    scale: 5000,
    maxPixels: 1e9
  }).get('precipitation');

  // 3. Calculate the Anomaly (2021 rainfall - long-term average)
  var anomaly = ee.Number(meanRainfall2021).subtract(ee.Number(meanLongTermAverage));
  var anomalyPercentage = anomaly.divide(ee.Number(meanLongTermAverage)).multiply(100);


  // Print the results for the region
  print('--- Results for ' + regionName + ' ---');
  print('Total Rainfall (Oct-Nov 2021) in mm:', meanRainfall2021);
  print('Long-Term Average (2000-2013) in mm:', meanLongTermAverage);
  print('Rainfall Anomaly (2021 vs Average) in mm:', anomaly);
  print('Rainfall Anomaly as % of Average:', anomalyPercentage);
};

// Run the function for both regions
calculateRainfallAnomaly(southernEthiopia, 'Southern Ethiopia');
calculateRainfallAnomaly(northernEthiopia, 'Northern Ethiopia');"
Aarush,"Between September through November 2021, did Seattle experience at least 40cm of rainfall?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/149195/soggy-autumn-in-the-pacific-northwest,,Ground-based observers in Seattle recorded about 48 centimeters (19 inches) of rain from September through November—the largest amount since records began in 1945,,,News,,
Cheryl,"Did active fire detections in Sumatra and Borneo, Indonesia, increase in 2023 compared to 2022?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/151929/indonesian-fires-return-in-2023,,"This image shows smoke from fires burning on the island of Borneo, in the Indonesian provinces of South and Central Kalimantan. It was acquired by the MODIS (Moderate Resolution Imaging Spectroradiometer) sensor on NASA’s Terra satellite on October 2, 2023. By that date, fire had burned around 267,900 hectares (662,000 acres) since the start of the year, surpassing the area burned during all of 2022, according to news reports.


",,,"Landsat 9
MODIS-Terra",,
Aarush,Did Arrachart in Madagascar recieve more than 22 inches of rainfall during the month of January 2020?,no,verified,"For review, Arrachart might not be an actual city but rather an airport, ideally its well known enough to locate regardless.",verified,,,,https://earthobservatory.nasa.gov/images/146225/flood-waters-overwhelm-northern-madagascar,,Arrachart received 192 mm (7.55 inches) from January 19-25 and 495 mm (19.50 inches) throughout January (normal is 159 mm/6.25 inches).,,,News (accuweather),,
Aarush,"Did Bellingham, Washington experience at least 30cm of rainfall between September and November 2021?",,verified,Note GEE can use GLDAS-2.1 but not GRACE,double reviewed,,,,https://earthobservatory.nasa.gov/images/149195/soggy-autumn-in-the-pacific-northwest,," Farther north, a record 37.01 centimeters (14.57 inches) fell in Bellingham, Washington",,,News,,
Aarush,"Did burn scars near San Jose, California on August 26, 2020 expand in comparison to the same region in June?",,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/147182/august-fires-leave-vast-burn-scars-in-california,https://eoimages.gsfc.nasa.gov/images/imagerecords/147000/147182/cafires_tmo_2020239.png,"The LNU Lightning Complex near Santa Rosa and the SCU Lightning Complex near San Jose had each burned more than 360,000 acres (140,000 square kilometers) as of August 27—making them the second and third largest fires by acreage in state history.",,,MODIS-Terra,,
Cheryl,Did Cambodia have more active fire detections than Thailand between August 2016 and February 2018?,,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/91771/its-fire-season-in-southeast-asia,,,,,VIIRS,,
Cheryl,Did Cambodia have more active fire detections than Vietnam between August 2016 and February 2018?,,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/91771/its-fire-season-in-southeast-asia,,,,,VIIRS,,
Chia-Hsiang,Did Cambodia have more active fire during February than October from 2014 to 2017?,,,,verified,,double reviewed,,https://earthobservatory.nasa.gov/images/91771/its-fire-season-in-southeast-asia,,,,,VIIRS,,
Chia-Hsiang,"Did Cincinnati, Ohio have its warmest February in 2018 (surface temperatures at 2 meters) compared to 2010 to 2017?",,,,double reviewed,,verified,,https://www.nesdis.noaa.gov/news/record-february-warmth-the-eastern-united-states,https://www.nesdis.noaa.gov/s3/styles/webp/s3/migrated/20180221-RTMA.png.webp?itok=YLRym-3M,"1. Several cities set new records for their warmest February temperatures ever recorded. Pittsburgh, Pennsylvania and Cincinnati, Ohio reached 78 and 79 degrees (°F), respectively, on February 20, while the temperature in New York City soared to 78 degrees on February 21, the National Weather Service reported.",,temperature,NOAA's Real-Time Mesoscale Analysis,,
Cheryl,"Did clouds cover a larger area within a 10 km radius of Halema‘uma‘u Crater, the summit caldera of Hawaii’s Kīlauea volcano, than the volcanic plume on July 20, 2025 at 10:44 am local time?",,verified,,,,double reviewed,,https://www.earthobservatory.nasa.gov/images/154591/more-lava-fills-kilauea-crater,,"The OLI (Operational Land Imager) on Landsat 8 acquired this image at approximately 10:44 a.m. local time (20:42 Universal Time) on July 20, while the eruption was underway. The natural-color image is overlaid with an infrared signature to reveal the heat emanating from lava in the summit crater. Note that both clouds and a volcanic plume are visible.",,,Landsat 8,,
Chia-Hsiang,"Did did the total rainfall exceed 6 inches in Grafton, New South Wales during January 14, 2020 to January 22, 2020?",,verified,,verified,,double reviewed,,https://earthobservatory.nasa.gov/images/146201/rain-brought-brief-relief-to-australia,,"According to news reports, the largest accumulations in New South Wales occurred north of Sydney, where rainfall averaged between 20 and 30 centimeters (8 and 12 inches).",,,GPM,,
Cheryl,"Did did the total rainfall exceed 8 inches in Canberra, Australia during January 14, 2020 to January 22, 2020?",no,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/146201/rain-brought-brief-relief-to-australia,,,,,GPM,,
Aarush,"Did Donner Pass have over 40 inches of snow water equivelent in January to April, 2022?",no,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/149798/wild-fluctuations-in-sierra-snow,,"The peak snow water equivalent across the 39-year record (dashed line) usually occurs around March 24, with a median at 37.2 inches. In 2022, SWE peaked at 27.6 inches on January 12 and started falling on February 6. The data in the graph come from the SNOTEL network, which is managed by the U.S. Department of Agriculture.",,,UNSURE,,
Chia-Hsiang,Did Dry Chaco forest cover decrease by more than 10% between 2000 and 2019?,,,,double reviewed,,verified,,https://landsat.gsfc.nasa.gov/article/deforestation-in-paraguays-gran-chaco/,,,,,Landsat,,
Cheryl,"Did forest cover in the Bobiri Forest Reserve, Ghana, decline between 2003 and 2023?",,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/153763/ghanas-declining-forest-reserves,,"Although vegetation change was relatively slow from 2003 to 2015, it picked up significantly between 2015 and 2019. Overall, there was more forest loss and degradation than recovery, resulting in a gradual decline of tree cover",,,"Landsat 4
Landsat 9",,
Cheryl,"Did Lac Rouge shrink by more than 90% between June 21, 2024 and June 15, 2025?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/154526/the-disappearance-of-lac-rouge,,"The image above (right) shows a drained Lac Rouge and the new course charted by its outflow on June 15, 2025. For comparison, the left image shows the area the previous June, when the lake was full. Both were acquired with the OLI-2 (Operational Land Imager-2) on Landsat 9.",,,Landsat 9,,
Cheryl,"Did lake ice extent on Lake Winnipeg, Canada, decrease between May 7, 2021 and May 19, 2021?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/148340/smoke-replaces-ice-at-lake-winnipeg,,"On May 7 and May 14, 2021, winter ice still covered most of Lake Winnipeg and the smaller lakes nearby, and walleye were starting to show up on fishing hooks. By May 19, most of the ice was gone, temperatures hovered between 30° and 33° Celsius (86° to 91° Fahrenheit), and the parched landscape was blanketed with smoke and fire. It seemed like Canada’s Manitoba Province had jumped right from winter to summer.",,,MODIS-Aqua,,
Aarush,Did more forest area burn in Sakha in 2015 than compared to 2021?,no,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/148943/a-record-breaking-year-for-fire-in-sakha,,It’s also record-breaking. More forest area burned in Sakha than in any year since the Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Terra satellite began collecting data in 2000.,,,VIIRS,,
Aarush,"Did New York experience an air temperature difference of at least 24 degrees Celcius between January 29 and February 5, 2019?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/144516/wild-winter-temperature-swings,,Measurements reported by the National Weather Service show that the daily high temperature in Boston jumped 26°C (47°F) between January 29 and February 5. New York and Washington D.C. warmed warmed by about 27°C.,,,GEOS?,,
Cheryl,"Did nighttime brightness over Houston decrease on May 18, 2024, compared to April 2024?",,verified,,,,verified,,https://www.earthobservatory.nasa.gov/images/152843/derecho-darkens-houston,,,,,"VIIRS
Landsat 9",,
Cheryl,"Did nighttime light intensity across Puerto Rico decline between September 21, 2016, and September 22, 2016?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/88796/puerto-rico-goes-dark,,"Late on September 21, 2016, a fire at a power plant substation in southern Puerto Rico triggered a cascade of problems across the island’s aging electrical grid. The event knocked out power to nearly 1.5 million customers.

From space, the effects appeared dramatic. The Visible Infrared Imaging Radiometer Suite (VIIRS) on the Suomi NPP satellite captured these nighttime images of Puerto Rico before and after the outage. The upper image was acquired at 2:50 a.m. local time (06:50 Universal Time) on September 21, 2016; the lower image shows the island at 2:31 a.m. local time (06:31 Universal Time) on September 22, 2016.
",,,VIIRS,https://code.earthengine.google.com/abceb0512674f66513dc9cf8439cc9d9,
Cheryl,"Did nighttime light intensity in Al Bayda, Libya, decrease on September 13, 2023, compared to September 8, 2023?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/151855/tracking-nightlights-in-libya,,There was a substantial loss of power evident in the vicinity of Derna and Al Bayda in the September 13 image when compared to the baseline image,,,VIIRS,,
Cheryl,"Did nighttime lights in Obolon, Ukraine, decrease in May 2022 compared to March 2022?",No,verified,,,,verified,,https://earthobservatory.nasa.gov/images/150002/tracking-night-lights-in-ukraine,,"After a significant reduction of lights in March, power has slowly been restored and regular human activity has appeared to pick up in several parts of the country, particularly around the capital.",,,VIIRS,,
Chia-Hsiang,Did northern Cambodia have more active fire detections than southern Cambodia between August 2016 and February 2018?,,,,verified,,double reviewed,,https://earthobservatory.nasa.gov/images/91771/its-fire-season-in-southeast-asia,,,,,"VIIRS
Landsat 8",,
Chia-Hsiang,Did over half of the total land area in the Isles Dernières Barrier Islands Refuge become permanently lost to erosion and sea level rise from 2000 to 2024?,No,,,verified,,double reviewed,,https://landsat.gsfc.nasa.gov/article/forty-years-of-change-in-louisianas-wetlands/,https://landsat.gsfc.nasa.gov/wp-content/uploads/2025/05/Louisiana-Wetlands-v9.mp4,"Not all change involves loss. In the Isles Dernieres Barrier Islands Refuge, shown above, various restoration projects over the past three decades have rebuilt these barrier islands. With sand dredged from the ocean floor and the Mississippi River, these revitalized islands help protect nearby communities from storm surge.
 ",,,"Landsat 5
Landsat 9",,
Chia-Hsiang,Did Phoenix experienced a record 40 consecutive days in which the land surface temperature exceeded 110 degrees Fahrenheit in the summer of 2023? ,No,,,verified,,double reviewed,,https://www.nasa.gov/centers-and-facilities/jpl/nasa-data-shows-fierce-surface-temperatures-during-phoenix-heat-wave/,https://www.nasa.gov/wp-content/uploads/2023/08/1-pia25868-viirs-lst-night-phoenix-v16-jplwebsite.m4v,,,,VIIRS,,
Chia-Hsiang,Did Pittsburgh have its warmest February in 2018 (surface temperatures at 2 meters) compared to 2010 to 2017?,,,,verified,,double reviewed,,https://www.nesdis.noaa.gov/news/record-february-warmth-the-eastern-united-states,https://www.nesdis.noaa.gov/s3/styles/webp/s3/migrated/20180221-RTMA.png.webp?itok=YLRym-3M,"1. Several cities set new records for their warmest February temperatures ever recorded. Pittsburgh, Pennsylvania and Cincinnati, Ohio reached 78 and 79 degrees (°F), respectively, on February 20, while the temperature in New York City soared to 78 degrees on February 21, the National Weather Service reported.",,temperature,NOAA's Real-Time Mesoscale Analysis,,
Cheryl,"Did Punjab and Haryana have less than 20,000 fires detections in November, 2024, as observed with the VIIRS sensor?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/153826/is-fire-activity-declining-in-northwestern-india,,,,,VIIRS,,
Cheryl,Did Punjab and Haryana have the most amount of active fire detections in 2016 compared to all other years from 2012 to 2024?,,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/153826/is-fire-activity-declining-in-northwestern-india,,The past two years were the two lowest years on record; the most active was 2016.  ,,,VIIRS,,
Aarush,"Did regions of the Pacific Northwest like Dallasport, Washington and Medford, Oregon reach temperatures above 105 degrees fahrenheit?",,verified,,verified,,,,https://earthobservatory.nasa.gov/images/150152/a-july-of-extremes,,"Temperatures reached highs of 110°F (43°C) in Dallasport, Washington, and 114°F (46°C) in Medford, Oregon.",,,GEOS?,,
Aarush,"Did Sacramento, California experience 2-meter air temperatures above 110 degrees fahrenheit in September 2022?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/150318/a-long-lasting-western-heatwave,,"In early September 2022, a long-lasting heat dome settled over the U.S. West and brought scorching temperatures that set all-time record highs.

All-time high temperatures ranging into the mid-110s Fahrenheit were recorded in the California cities of Santa Rosa, Napa, Livermore, Redwood City, San Jose, and King City. Both Merced and Sacramento reached 116°F (46.7°C), their highest temperatures since record-keeping began in 1899 and 1877, respectively. The Sacramento record, which was previously 110°F (43.3°C), was broken by a significant margin.",,,GEOS?,,
Cheryl,Did San Jose have a higher average nitrogen dioxide concentration than Los Angeles from 2018 to 2019?,No,verified,,,,verified,,https://earthobservatory.nasa.gov/images/151005/nitrogen-dioxide-in-the-neighborhood,,,,,Sentinel-5P,,
